0,Empresa 0,Catarina,CE,Confecção / Textil
1,Empresa 1,Saboeiro,CE,Confecção / Textil
2,Empresa 2,Valentim Gentil,SP,Outro
3,Empresa 3,Barreirinha,AM,Informática
4,Empresa 4,Araporã,MG,Informática
5,Empresa 5,Santa Teresinha,PB,Alimentos / Bebida
6,Empresa 6,São Domingos do Prata,MG,Alimentos / Bebida
7,Empresa 7,Pilõezinhos,PB,Informática
8,Empresa 8,Conceição das Pedras,MG,Alimentos / Bebida
9,Empresa 9,Cordeiro,RJ,Outro
10,Empresa 10,Bonito,PA,Embalagens
11,Empresa 11,Assaré,CE,Informática
12,Empresa 12,Acajutiba,BA,Alimentos / Bebida
13,Empresa 13,Campos de Júlio,MT,Cosméticos / Perfumaria / Higiene
14,Empresa 14,Frei Martinho,PB,Alimentos / Bebida
15,Empresa 15,Alto Garças,MT,Calçados
16,Empresa 16,Arroio dos Ratos,RS,Móveis
17,Empresa 17,Sombrio,SC,Brinquedos
18,Empresa 18,Rinópolis,SP,Alimentos / Bebida
19,Empresa 19,Itaqui,RS,Confecção / Textil
20,Empresa 20,Riachinho,MG,Pet-Shop
21,Empresa 21,Cocalinho,MT,Embalagens
22,Empresa 22,São José do Vale do Rio Preto,RJ,Alimentos / Bebida
23,Empresa 23,Serra do Navio,AP,Limpeza / Higiene
24,Empresa 24,Varjota,CE,Outro
25,Empresa 25,Pojuca,BA,Confecção / Textil
26,Empresa 26,Potengi,CE,Embalagens
27,Empresa 27,Taipu,RN,Informática
28,Empresa 28,Barro Alto,GO,Informática
29,Empresa 29,Itajá,GO,Cosméticos / Perfumaria / Higiene
30,Empresa 30,Francisco Badaró,MG,Confecção / Textil
31,Empresa 31,Cocalinho,MT,Áudio / Música / Som
32,Empresa 32,Cristalândia,TO,Autopeças
33,Empresa 33,Arroio do Tigre,RS,Outro
34,Empresa 34,Vilhena,RO,Outro
35,Empresa 35,Inhapim,MG,Materiais de Construção
36,Empresa 36,Ceres,GO,Materiais de Construção
37,Empresa 37,Cachoeiro de Itapemirim,ES,Outro
38,Empresa 38,Santa Rita,MA,Outro
39,Empresa 39,Hidrolândia,CE,Confecção / Textil
40,Empresa 40,Brochier,RS,Alimentos / Bebida
41,Empresa 41,Brasília,DF,Confecção / Textil
42,Empresa 42,São Miguel do Anta,MG,Alimentos / Bebida
43,Empresa 43,Itamari,BA,Autopeças
44,Empresa 44,Astorga,PR,Alimentos / Bebida
